city,sum,lat,lng
"Central Islip, New York",14,40.7906538,-73.20178109999999
"Centralia, Washington",12,46.7162136,-122.9542972
"Centreville, Virginia",250,38.8403909,-77.42887689999999
"Ceres, California",154,37.5949316,-120.9577098
"Cerritos, California",32,33.8583483,-118.0647871
"Chagrin Falls, Ohio",18,41.4298516,-81.3910999
"Chalmette, Louisiana",6,29.942783,-89.9635162
"Chambersburg, Pennsylvania",18,39.9375911,-77.6611022
"Chamblee, Georgia",142,33.8920468,-84.29881259999999
"Champaign, Illinois",102,40.1164204,-88.2433829
"Champlin, Minnesota",200,45.1888539,-93.39745370000001
"Chandler, Arizona",302,33.3061605,-111.8412502
"Changewater, New Jersey",2,40.7381553,-74.94405859999999
"Chanhassen, Minnesota",38,44.86196450000001,-93.53231029999999
"Channahon, Illinois",2,41.4294753,-88.2286735
"Channelview, Texas",20,29.7760599,-95.11465330000001
"Chantilly, Virginia",182,38.8942786,-77.43109919999999
"Chapel Hill, North Carolina",720,35.9131996,-79.0558445
"Charles City, Virginia",8,37.4018216,-77.1485163
"Charleston, Illinois",142,39.4961458,-88.1761521
"Charlestown, Massachusetts",78,42.3782065,-71.0602131
"Charlotte, New York",16692,42.3045027,-79.237822
"Charlottesville, Virginia",5590,38.0293059,-78.47667810000002
"Charter Township, Michigan",18,42.7561109,-83.1434573
"Charter Township, Michigan",18,43.3609299,-83.8851117
"Charter Township, Michigan",18,42.7924727,-84.54318669999999
"Charter Twp Of Clinton, Michigan",10,42.5868882,-82.9195514
"Chaska, Minnesota",114,44.7893446,-93.60183889999999
"Chatham, Illinois",4,39.676163,-89.70454389999999
"Chatsworth, California",194,34.2506356,-118.61481
"Chattanooga, Tennessee",1922,35.0456297,-85.3096801
"Cheektowaga, New York",66,42.9026136,-78.74457199999999
"Chelsea, Massachusetts",548,42.3917638,-71.0328284
"Chenango Forks, New York",6,42.2380181,-75.8463022
"Cheney, Washington",68,47.4873895,-117.5757622
"Cherokee, Iowa",4,42.7496413,-95.55154309999999
"Cherry Hill, New Jersey",88,39.926813,-75.0246312
"Cherry Valley, Illinois",6,42.2347434,-88.94899120000001
"Chesapeake, Virginia",58,36.7682088,-76.2874927
"Cheshire, Connecticut",12,41.5083668,-72.9106202
"Chesnee, South Carolina",70,35.1484549,-81.8609371
"Chester, Massachusetts",98,42.2792551,-72.978712
"Chester Hills, Michigan",4,43.158429,-85.8690933
"Chester Hills, Michigan",4,43.128099,-85.87499
"Chesterfield, Missouri",44,38.6631083,-90.5770675
"Chestnut Hill, Massachusetts",26,42.3303798,-71.166187
